Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Bolwijn R., Casella B., Zhan J.","57204161491;57202505274;54943537700;","International production and the digital economy",2018,"Progress in International Business Research","13",,,"39","64",,16,"10.1108/S1745-886220180000013003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067026701&doi=10.1108%2fS1745-886220180000013003&partnerID=40&md5=1e4f9421ea78c7b694c7a339aae52113","UNCTAD, Switzerland","Bolwijn, R., UNCTAD, Switzerland; Casella, B., UNCTAD, Switzerland; Zhan, J., UNCTAD, Switzerland","Digital economy; FDI; Industry 4.0; International production; MNEs; New industrial revolution",,,17458862,,,"Prog. Int. Bus. Res.",Book Chapter,"Final","",Scopus
"Polak P., Masquelier F., Michalski G.","57208101365;57207933614;24460297800;","Towards treasury 4.0/the evolving role of corporate treasury management for 2020 [Prema riznici 4.0 – razvoj ulogu korporacijskog rizničkog menadžmenta za 2020. godinu]",2018,"Management (Croatia)","23","2",,"189","197",,16,"10.30924/mjcmi/2018.23.2.189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063269623&doi=10.30924%2fmjcmi%2f2018.23.2.189&partnerID=40&md5=8362eae0f324384286bc4578ee0b6008","UBDSBE, University of Brunei Darussalam, Gadong, Brunei Darussalam; RTL Group, Luxembourg, Luxembourg; Wroclaw University of Economics, Wroclaw, Poland; Shaanxi Normal University, Xi’an, China; EACT (European Association of Corporate Treasurers)","Polak, P., UBDSBE, University of Brunei Darussalam, Gadong, Brunei Darussalam, Shaanxi Normal University, Xi’an, China; Masquelier, F., RTL Group, Luxembourg, Luxembourg, EACT (European Association of Corporate Treasurers); Michalski, G., Wroclaw University of Economics, Wroclaw, Poland","Business intelligence; Digitization; Globalization; Treasury 4.0; Treasury evolution",,"Polak, P.; UBDSBE, Brunei Darussalam; email: petr.polak.68@gmail.com",13310194,,,"Management",Article,"Final","All Open Access, Gold, Green",Scopus
"Ageyev D.","6507006637;","NGN network planning according to criterion of provider's maximum profit",2010,"Modern Problems of Radio Engineering, Telecommunications and Computer Science - Proceedings of the 10th International Conference, TCSET'2010",,,"5446070","256","",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952599472&partnerID=40&md5=e0e6b28e21ffc0e08c41c744cf27fb95","Kharkov National University of Radioelectronics, Lenina av., 14, Kharkov, 61166, Ukraine","Ageyev, D., Kharkov National University of Radioelectronics, Lenina av., 14, Kharkov, 61166, Ukraine","Parametrical synthesis; Profit; Provider; Telecommunication system; Topology synthesis","Multi-services; NGN networks; Parametrical synthesis; Problem definition; Profit; Telecommunication providers; Computer networks; Mathematical models; Profitability; Synthesis (chemical); Telecommunication systems; Topology; Telecommunication","Ageyev, D.; Kharkov National University of Radioelectronics, Lenina av., 14, Kharkov, 61166, Ukraine; email: dm_ageyev@ukrpost.net",,9789665538752,,"Mod. Probl. Radio Eng., Telecommun. Comput. Sci. - Proc. Int. Conf., TCSET",Conference Paper,"Final","",Scopus
"Schwarcz S.L.","55903524900;","The 'Principles' Paradox",2009,"European Business Organization Law Review","10","2",,"175","184",,16,"10.1017/S156675290900175X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649175978&doi=10.1017%2fS156675290900175X&partnerID=40&md5=da033250f212e81294324483ed5c89cc","Duke University, School of Law, United States","Schwarcz, S.L., Duke University, School of Law, United States","Financial regulation; Indenture trustee; Liability; Mortgage-backed securities; Public bond markets",,"Schwarcz, S. L.; Duke University, United States",15667529,,,"Eur. Bus. Org. Law Rev.",Conference Paper,"Final","",Scopus
"Raymond Choo K.-K.","57208540261;","Politically exposed persons &lpar;PEPs&rpar;&colon; risks and mitigation",2008,"Journal of Money Laundering Control","11","4",,"371","387",,16,"10.1108/13685200810910439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881766072&doi=10.1108%2f13685200810910439&partnerID=40&md5=0b219c946b6ac69e4b8f8752eb0bad33","Australian Institute of Criminology, Canberra, Australia","Raymond Choo, K.-K., Australian Institute of Criminology, Canberra, Australia","Australia; Corruption; Due diligence; Money laundering; Risk management",,"Raymond Choo, K.-K.; Australian Institute of CriminologyAustralia",13685201,,,"J. Money Laund. Control",Article,"Final","",Scopus
"Deboeck G.J.","6602258042;","Financial applications of self-organizing maps",1998,"Neural Network World","8","2",,"213","241",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031641473&partnerID=40&md5=e2b77ed5aac1240df71c3c0aadb7595e","World Bank","Deboeck, G.J., World Bank",,"Financial data processing; Forecasting; Marketing; Mathematical techniques; Risk assessment; Self-organizing maps; Neural networks","Deboeck, G.J.; World Bank",12100552,,NNWOF,"Neural Network World",Article,"Final","",Scopus
"Alam S., Shuaib M., Khan W.Z., Garg S., Kaddoum G., Hossain M.S., Zikria Y.B.","57213490883;57207874230;55161454300;55601765300;24587843100;24066717900;24825945700;","Blockchain-based Initiatives: Current state and challenges",2021,"Computer Networks","198",,"108395","","",,15,"10.1016/j.comnet.2021.108395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112558798&doi=10.1016%2fj.comnet.2021.108395&partnerID=40&md5=0de63c4f54c37a2e2ec21fb718e769ca","College of Computer Science & IT, Jazan University, Jazan, Saudi Arabia; Department of Computer Science, Capital University of Science and Technology, Islamabad, Pakistan; Ecole de technologie sup'erieure, Universit'e du Qu'ebec, Montr'eal, QC H3C 1K3, Canada; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, 38541, South Korea","Alam, S., College of Computer Science & IT, Jazan University, Jazan, Saudi Arabia; Shuaib, M., College of Computer Science & IT, Jazan University, Jazan, Saudi Arabia; Khan, W.Z., Department of Computer Science, Capital University of Science and Technology, Islamabad, Pakistan; Garg, S., Ecole de technologie sup'erieure, Universit'e du Qu'ebec, Montr'eal, QC H3C 1K3, Canada; Kaddoum, G., Ecole de technologie sup'erieure, Universit'e du Qu'ebec, Montr'eal, QC H3C 1K3, Canada; Hossain, M.S., Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia; Zikria, Y.B., Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, 38541, South Korea","Blockchain; Blockchain Initiatives; Challenges for blockchain; Distributed ledger; E-Government; Smart contracts","Costs; Digital storage; e-government; 'current; Block-chain; Blockchain initiative; Challenge for blockchain; Data storage; Distributed ledg; e-Government; Multiple data; Smart contract; Third parties; Blockchain","Zikria, Y.B.; Department of Information and Communication Engineering, South Korea; email: yousafbinzikria@ynu.ac.kr",13891286,,CNETD,"Comput. Networks",Article,"Final","",Scopus
"Goyal N., Howlett M., Taeihagh A.","57194183948;7004315057;57203976934;","Why and how does the regulation of emerging technologies occur? Explaining the adoption of the EU General Data Protection Regulation using the multiple streams framework",2021,"Regulation and Governance","15","4",,"1020","1034",,15,"10.1111/rego.12387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101385030&doi=10.1111%2frego.12387&partnerID=40&md5=dc72271ade0383f58ec2b6716f16e487","Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands; Department of Political Science, Simon Fraser University, Burnaby, BC, Canada; Lee Kuan Yew School of Public Policy, National University of Singapore, Singapore","Goyal, N., Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands; Howlett, M., Department of Political Science, Simon Fraser University, Burnaby, BC, Canada; Taeihagh, A., Lee Kuan Yew School of Public Policy, National University of Singapore, Singapore","European Union; General Data Protection Regulation; multiple streams framework; policy entrepreneurship; policy innovation; technology regulation",,"Goyal, N.; Faculty of Technology, Netherlands; email: nihit.goyal@tudelft.nl",17485983,,,"Regul. Governance",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Haakman M., Cruz L., Huijgens H., van Deursen A.","57221155994;57143791700;56028455800;7003969355;","AI lifecycle models need to be revised: An exploratory study in Fintech",2021,"Empirical Software Engineering","26","5","95","","",,15,"10.1007/s10664-021-09993-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109589558&doi=10.1007%2fs10664-021-09993-1&partnerID=40&md5=48ccbd00b9458d3e09325ab8ccb6f763","AI For Fintech Research, ING, Amsterdam, Netherlands; Delft University of Technology, Delft, Netherlands","Haakman, M., AI For Fintech Research, ING, Amsterdam, Netherlands; Cruz, L., Delft University of Technology, Delft, Netherlands; Huijgens, H., AI For Fintech Research, ING, Amsterdam, Netherlands; van Deursen, A., Delft University of Technology, Delft, Netherlands","AI engineering; AI lifecycle; Case study; Machine learning; SE4AI","Fintech; Intelligent systems; Life cycle; Machine learning; Risk assessment; Software engineering; Artificial intelligence systems; Development process; Development tools; Entire life cycles; Exploratory case studies; Exploratory studies; Feasibility studies; Software component; Learning algorithms","Cruz, L.; Delft University of TechnologyNetherlands; email: l.cruz@tudelft.nl",13823256,,ESENF,"Empir Software Eng",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Samuels D., Taylor D.J., Verrecchia R.E.","57190112595;26041107500;6701596250;","The economics of misreporting and the role of public scrutiny",2021,"Journal of Accounting and Economics","71","1","101340","","",,15,"10.1016/j.jacceco.2020.101340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090489399&doi=10.1016%2fj.jacceco.2020.101340&partnerID=40&md5=8130027e29e6751b872d9c1a4cc740f8","The University of Chicago, Booth School of Business, United States; The Wharton School, University of Pennsylvania, United States","Samuels, D., The University of Chicago, Booth School of Business, United States; Taylor, D.J., The Wharton School, University of Pennsylvania, United States; Verrecchia, R.E., The Wharton School, University of Pennsylvania, United States","Earnings management; EDGAR; Misreporting; Monitoring; Public scrutiny; Valuation",,"Taylor, D.J.; The Wharton School, United States; email: dtayl@wharton.upenn.edu",01654101,,JAECD,"J. Account. Econ.",Article,"Final","",Scopus
"Franks P.C.","55339537100;","Implications of blockchain distributed ledger technology for records management and information governance programs",2020,"Records Management Journal","30","3",,"287","299",,15,"10.1108/RMJ-08-2019-0047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079766559&doi=10.1108%2fRMJ-08-2019-0047&partnerID=40&md5=b2b4cd2c88c41490b96deda01e1ab2d4","Information Science, San Jose State University, San Jose, CA, United States","Franks, P.C., Information Science, San Jose State University, San Jose, CA, United States","Blockchain; Distributed ledger technology; Information governance; Records management",,"Franks, P.C.; Information Science, United States; email: patricia.franks@sjsu.edu",09565698,,,"Rec. Manage. J.",Article,"Final","",Scopus
"Ding D., Chong G., Lee Kuo Chuen D., Cheng T.L.","55164551300;57194794995;57204065572;57215288542;","From Ant Financial to Alibaba's Rural Taobao Strategy - How Fintech Is Transforming Social Inclusion",2018,"Handbook of Blockchain, Digital Finance, and Inclusion, Volume 1: Cryptocurrency, FinTech, InsurTech, and Regulation",,,,"19","35",,15,"10.1016/B978-0-12-810441-5.00002-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054416967&doi=10.1016%2fB978-0-12-810441-5.00002-6&partnerID=40&md5=6c584af06ab590a52ceba21987eb59c2","Singapore University of Social Sciences, Singapore; Left Coast, United States","Ding, D., Singapore University of Social Sciences, Singapore; Chong, G., Singapore University of Social Sciences, Singapore; Lee Kuo Chuen, D., Left Coast, United States; Cheng, T.L., Singapore University of Social Sciences, Singapore","Alibaba; Ant Financial; E-commerce; Fintech; Rural Taobao Strategy","Commerce; Electronic commerce; Finance; Agricultural business; Alibaba; Ant Financial; Convenience stores; Financial networks; Financial service; Fintech; Level playing fields; Rural areas","Ding, D.; Singapore University of Social SciencesSingapore",,9780128104422; 9780128104415,,"Handb. of Blockchain, Digit. Financ., and Incl., Vol. 1: Cryptocurr., FinTech, InsurTech, and Regul.",Book Chapter,"Final","",Scopus
"Kirichenko L., Radivilova T., Zinkevich I.","47861221700;24484091300;57198346928;","Forecasting weakly correlated time series in tasks of electronic commerce",2017,"Proceedings of the 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies, CSIT 2017","1",,"8098793","309","312",,15,"10.1109/STC-CSIT.2017.8098793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036462804&doi=10.1109%2fSTC-CSIT.2017.8098793&partnerID=40&md5=05c62f0fcd5adb32a140f4f0cfdfaeca","Applied Mathematics Department, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Infocommunication Engineering Department, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine","Kirichenko, L., Applied Mathematics Department, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Radivilova, T., Infocommunication Engineering Department, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Zinkevich, I., Applied Mathematics Department, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine","conversion rate; decision tree; exponential smoothing; forecasting; long-term memory network; time series","Decision trees; Forecasting; Conversion rates; Exponential smoothing; Long term memory; Time series",,,9781538616383,,"Proc. Int. Sci. Tech. Conf. Comput. Sci. Inf. Technol., CSIT",Conference Paper,"Final","All Open Access, Green",Scopus
"Sheridan I.","57196149385;","MiFID II in the context of Financial Technology and Regulatory Technology",2017,"Capital Markets Law Journal","12","4",,"417","427",,15,"10.1093/cmlj/kmx036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032037821&doi=10.1093%2fcmlj%2fkmx036&partnerID=40&md5=571cc416b86a4586afd4dde96397d701","Iain Sheridan, London, United Kingdom","Sheridan, I., Iain Sheridan, London, United Kingdom",,,"Sheridan, I.; Iain SheridanUnited Kingdom; email: isheridan@bigbenlaw.com",17507219,,,"Cap. Mark. Law J.",Article,"Final","",Scopus
"Huang Y., Ji Y.","55716988300;57204014794;","How will financial liberalization change the Chinese economy? Lessons from middle-income countries",2017,"Journal of Asian Economics","50",,,"27","45",,15,"10.1016/j.asieco.2017.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018399572&doi=10.1016%2fj.asieco.2017.04.001&partnerID=40&md5=1296142013c9a8ce58a66f679c1d1a28","National School of Development, Peking University, China","Huang, Y., National School of Development, Peking University, China; Ji, Y., National School of Development, Peking University, China","China; Economic growth; Financial liberalization; Financial risk",,"Ji, Y.email: jiyangpku@163.com",10490078,,,"J. Asian Econ.",Article,"Final","",Scopus
"Hay G.A.","7005854758;","Horizontal Agreements: Concept and Proof",2006,"Antitrust Bulletin","51","4",,"877","914",,15,"10.1177/0003603X0605100405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071340306&doi=10.1177%2f0003603X0605100405&partnerID=40&md5=8c1e2657e9de83c629d02a6535cd9d6d",,"Hay, G.A.",,,"Hay, G.A.",0003603X,,,"Antitrust Bulletin",Article,"Final","All Open Access, Green",Scopus
"Singh C., Lin W.","56409345900;57217310795;","Can artificial intelligence, RegTech and CharityTech provide effective solutions for anti-money laundering and counter-terror financing initiatives in charitable fundraising",2020,"Journal of Money Laundering Control","24","3",,"464","482",,14,"10.1108/JMLC-09-2020-0100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097152037&doi=10.1108%2fJMLC-09-2020-0100&partnerID=40&md5=ba61a88a60cfd17b8250a19329806d69","Westminster Business School College, University of Westminster, London, United Kingdom; Department of Law, School of Law, Coventry University, Coventry, United Kingdom","Singh, C., Westminster Business School College, University of Westminster, London, United Kingdom; Lin, W., Department of Law, School of Law, Coventry University, Coventry, United Kingdom","Anti-money laundering; Artificial intelligence; CharityTech; Counter-terror finance; English law; RegTech",,"Lin, W.; Department of Law, United Kingdom; email: wangweilin12345@gmail.com",13685201,,,"J. Money Laund. Control",Article,"Final","All Open Access, Green",Scopus
"Beheshti A., Benatallah B., Sheng Q.Z., Schiliro F.","50361038600;6701493053;57208669610;57193009068;","Intelligent Knowledge Lakes: The Age of Artificial Intelligence and Big Data",2020,"Communications in Computer and Information Science","1155 CCIS",,,"24","34",,14,"10.1007/978-981-15-3281-8_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080921134&doi=10.1007%2f978-981-15-3281-8_3&partnerID=40&md5=c66047dc90ac66a8b1237d3e593afa4e","Macquarie University, Sydney, Australia; University of New South Wales, Sydney, Australia; Australian Federal Police, Canberra, Australia","Beheshti, A., Macquarie University, Sydney, Australia; Benatallah, B., University of New South Wales, Sydney, Australia; Sheng, Q.Z., Macquarie University, Sydney, Australia; Schiliro, F., Macquarie University, Sydney, Australia, Australian Federal Police, Canberra, Australia","Artificial Intelligence; Big data; Data analytics; Data curation; Data Lake; Knowledge Lake","Artificial intelligence; Big data; Data Analytics; Digital storage; Information systems; Information use; Internet of things; Lakes; Systems engineering; AI applications; Business analytics; Business Process; Cognitive assistance; Continuous improvements; Data analysts; Knowledge intensive process; Processing capability; Data curation","Beheshti, A.; Macquarie UniversityAustralia; email: amin.beheshti@mq.edu.au",18650929,9789811532801,,"Commun. Comput. Info. Sci.",Conference Paper,"Final","",Scopus
"Iszatt-White M., Whittle A., Gadelshina G., Mueller F.","56060775300;57210282647;57201254191;55693740400;","The ‘Corbyn Phenomenon’: Media Representations of Authentic Leadership and the Discourse of Ethics Versus Effectiveness",2019,"Journal of Business Ethics","159","2",,"535","549",,14,"10.1007/s10551-018-3838-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044084706&doi=10.1007%2fs10551-018-3838-x&partnerID=40&md5=59c2078b2d5d778c4f64f4ab126a56fc","Department of Leadership and Management, Lancaster University Management School, Lancaster, LA1 4YX, United Kingdom; Newcastle University Business School, Newcastle upon Tyne, United Kingdom; Northumbria University, Newcastle Business School, Newcastle upon Tyne, United Kingdom","Iszatt-White, M., Department of Leadership and Management, Lancaster University Management School, Lancaster, LA1 4YX, United Kingdom; Whittle, A., Newcastle University Business School, Newcastle upon Tyne, United Kingdom; Gadelshina, G., Northumbria University, Newcastle Business School, Newcastle upon Tyne, United Kingdom; Mueller, F., Newcastle University Business School, Newcastle upon Tyne, United Kingdom","Authentic leadership; British Labour Party; Effectiveness; Ethical leadership; Jeremy Corbyn; Media discourse; Membership categorisation analysis; Political leaders",,"Iszatt-White, M.; Department of Leadership and Management, United Kingdom; email: M.Iszattwhite@lancaster.ac.uk",01674544,,,"J. Bus. Ethics",Article,"Final","All Open Access, Green",Scopus
"Ioannou S., Wójcik D., Dymski G.","57194392911;7003319403;6603864397;","Too-Big-To-Fail: Why Megabanks Have Not Become Smaller Since the Global Financial Crisis?",2019,"Review of Political Economy","31","3",,"356","381",,14,"10.1080/09538259.2019.1674001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076353114&doi=10.1080%2f09538259.2019.1674001&partnerID=40&md5=0e3ba1df5b9b58347ccf7140c64547e7","University of Oxford, Oxford, United Kingdom; University of Leeds, Leeds, United Kingdom","Ioannou, S., University of Oxford, Oxford, United Kingdom; Wójcik, D., University of Oxford, Oxford, United Kingdom; Dymski, G., University of Leeds, Leeds, United Kingdom","bank lobbying; financial consolidation; financial regulation; investment banking; quantitative easing; Too-big-to-fail",,"Ioannou, S.; University of Oxford, South Parks Road, United Kingdom; email: stefanos.ioannou@ouce.ox.ac.uk",09538259,,,"Rev. Polit. Econ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Burk D.L.","7004925617;","Algorithmic fair use",2019,"University of Chicago Law Review","86","2",,"283","307",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070408826&partnerID=40&md5=81da71091321a6bc24cc4c65f2c1cc52","University of California, Irvine, United States","Burk, D.L., University of California, Irvine, United States",,,"Burk, D.L.; University of CaliforniaUnited States",00419494,,,"Univ. Chic. Law Rev.",Article,"Final","",Scopus
"Mustafa F., Khursheed A., Fatima M.","57201382484;57205075570;57214518989;","Impact of global financial crunch on financially innovative microfinance institutions in South Asia",2018,"Financial Innovation","4","1","13","","",,14,"10.1186/s40854-018-0099-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058435055&doi=10.1186%2fs40854-018-0099-8&partnerID=40&md5=d731b7de0baac83936d07afeb0cf6507","UCP Business School, Faculty of Management Studies, University of Central Punjab, Lahore, Pakistan","Mustafa, F., UCP Business School, Faculty of Management Studies, University of Central Punjab, Lahore, Pakistan; Khursheed, A., UCP Business School, Faculty of Management Studies, University of Central Punjab, Lahore, Pakistan; Fatima, M., UCP Business School, Faculty of Management Studies, University of Central Punjab, Lahore, Pakistan","Global financial crunch; Microfinance institutions; South Asia",,"Khursheed, A.; UCP Business School, Pakistan; email: ambreen.khursheed@ucp.edu.pk",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold, Green",Scopus
"Koh F., Phoon K.F., Ha C.D.","24383916100;7003306515;57215291659;","Digital Financial Inclusion in South East Asia",2018,"Handbook of Blockchain, Digital Finance, and Inclusion","2",,,"387","403",,14,"10.1016/B978-0-12-812282-2.00015-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054436726&doi=10.1016%2fB978-0-12-812282-2.00015-2&partnerID=40&md5=d64afb4c33b1b975c0f755ea2bf174e4","Singapore Management University, Singapore; Singapore University of Social Sciences, Singapore","Koh, F., Singapore Management University, Singapore; Phoon, K.F., Singapore University of Social Sciences, Singapore; Ha, C.D., Singapore Management University, Singapore","Financial inclusion; Financial services; Mobile network; South East Asia",,"Koh, F.; Singapore Management UniversitySingapore",,9780128122990; 9780128122822,,"Handb. of Blockchain, Digit. Financ., and Incl.",Book Chapter,"Final","",Scopus
"Raso J.","57190265467;","Displacement as regulation: New regulatory technologies and front-line decision-making in Ontario works",2017,"Canadian Journal of Law and Society","32","1",,"75","95",,14,"10.1017/cls.2017.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021699363&doi=10.1017%2fcls.2017.6&partnerID=40&md5=e9322716d59f45b1ce4b3738e0341581","University of Toronto Faculty of Law, Centre for Criminology and Sociolegal Studies, Canada","Raso, J., University of Toronto Faculty of Law, Centre for Criminology and Sociolegal Studies, Canada","Discretion; New public management; Regulatory technology; Street-level bureaucrats; Welfare",,"Raso, J.; University of Toronto Faculty of Law, Canada; email: jen.raso@mail.utoronto.ca",08293201,,,"Can. J. Law Soc.",Review,"Final","",Scopus
"Dmytro A., Ali A.-A., Nameer Q.","6507006637;56674644300;56674669100;","Multi-period LTE RAN and services planning for operator profit maximization",2015,"Proceedings of 13th International Conference: The Experience of Designing and Application of CAD Systems in Microelectronics, CADSM 2015",,,"7230786","25","27",,14,"10.1109/CADSM.2015.7230786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961724969&doi=10.1109%2fCADSM.2015.7230786&partnerID=40&md5=01f3bfe3083f6f64535c2f0420c86e4c","TCS Department, Kharkiv National University of Radioelectronics, Lenina ave. 14, Kharkiv, Ukraine; TCS Department, Odessa National Academy of Telecommunications, Kovalska str. I, Odessa, Ukraine","Dmytro, A., TCS Department, Kharkiv National University of Radioelectronics, Lenina ave. 14, Kharkiv, Ukraine; Ali, A.-A., TCS Department, Odessa National Academy of Telecommunications, Kovalska str. I, Odessa, Ukraine; Nameer, Q., TCS Department, Odessa National Academy of Telecommunications, Kovalska str. I, Odessa, Ukraine","LTE RAN; multi-period planning; Optimization model; service","Integer programming; Microelectronics; Optimization; Profitability; Wireless telecommunication systems; Correct solution; LTE RAN; Multi-period; Network planning; Optimization modeling; Profit margin; Profit maximization; service; Computer aided design",,,9786176077169,,"Proc. Int. Conf.: Exp. Des. Appl. CAD Syst. Microelectron., CADSM",Conference Paper,"Final","",Scopus
"Groth S.S., Siering M., Gomber P.","36006216100;55073684900;6603092979;","How to enable automated trading engines to cope with news-related liquidity shocks? Extracting signals from unstructured data",2014,"Decision Support Systems","62",,,"32","42",,14,"10.1016/j.dss.2014.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900526411&doi=10.1016%2fj.dss.2014.03.002&partnerID=40&md5=ec81db27e34b89ba6d3b9abd5b6b5cb2","Goethe University Frankfurt, Grüneburgplatz 1, 60323 Frankfurt, Germany","Groth, S.S., Goethe University Frankfurt, Grüneburgplatz 1, 60323 Frankfurt, Germany; Siering, M., Goethe University Frankfurt, Grüneburgplatz 1, 60323 Frankfurt, Germany; Gomber, P., Goethe University Frankfurt, Grüneburgplatz 1, 60323 Frankfurt, Germany","Automated trading; e-Finance; Forecasting; Liquidity; Simulation; Text mining","Automation; Costs; Data mining; Engines; Forecasting; Investments; Signal processing; Automated trading; E finances; Liquidity; Simulation; Text mining; Commerce","Siering, M.; Goethe University Frankfurt, Grüneburgplatz 1, 60323 Frankfurt, Germany; email: siering@wiwi.uni-frankfurt.de",01679236,,DSSYD,"Decis Support Syst",Article,"Final","",Scopus
"Azevedo Araujo R.","7103253281;","An evolutionary game theory approach to combat money laundering",2010,"Journal of Money Laundering Control","13","1",,"70","78",,14,"10.1108/13685201011010236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925312133&doi=10.1108%2f13685201011010236&partnerID=40&md5=79322b42143566c7f070905dda7e5fab","Department of Economics, University of Brasilia, Brasilia, Brazil","Azevedo Araujo, R., Department of Economics, University of Brasilia, Brasilia, Brazil","Game theory; Money laundering",,"Azevedo Araujo, R.; Department of Economics, Brazil; email: rsaaraujo@unb.br",13685201,,,"J. Money Laund. Control",Article,"Final","",Scopus
"Muganyi T., Yan L., Yin Y., Sun H., Gong X., Taghizadeh-Hesary F.","57211924905;57218104231;56779331500;56645203200;57439248400;56291956400;","Fintech, regtech, and financial development: evidence from China",2022,"Financial Innovation","8","1","29","","",,13,"10.1186/s40854-021-00313-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124046905&doi=10.1186%2fs40854-021-00313-6&partnerID=40&md5=36d5bf78dc8b28a8ba5d6675602015e8","School of Economics, Shanghai University, Shanghai, 200240, China; School of Economics and Management, Hebei University of Technology, Tianjin, 300401, China; School of Finance and Economics, Division of Low-carbon Economy and Environment Regulation, Institute of Industrial Economics, Jiangsu University, Jiangsu, Zhenjiang, 212013, China; School of Economics and Management, Tongji University, Shanghai, China; Tokai University, 4-1-1 Kitakaname, Kanagawa, Hiratsuka-shi, 259-1292, Japan","Muganyi, T., School of Economics, Shanghai University, Shanghai, 200240, China; Yan, L., School of Economics, Shanghai University, Shanghai, 200240, China; Yin, Y., School of Economics, Shanghai University, Shanghai, 200240, China; Sun, H., School of Economics and Management, Hebei University of Technology, Tianjin, 300401, China, School of Finance and Economics, Division of Low-carbon Economy and Environment Regulation, Institute of Industrial Economics, Jiangsu University, Jiangsu, Zhenjiang, 212013, China; Gong, X., School of Economics and Management, Tongji University, Shanghai, China; Taghizadeh-Hesary, F., Tokai University, 4-1-1 Kitakaname, Kanagawa, Hiratsuka-shi, 259-1292, Japan","China; Financial development; Fintech; Regtech",,"Sun, H.; School of Economics and Management, China; email: shp797@163.com
Taghizadeh-Hesary, F.; Tokai University, 4-1-1 Kitakaname, Kanagawa, Japan; email: farhad@tsc.u-tokai.ac.jp",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold",Scopus
