raw_source_title,issn,eissn,subject_areas
Science and Engineering Ethics,13533452,14715546,"Business, Management and Accounting; Medicine; Nursing; Social Sciences"
Science and Engineering of Composite Materials,0334181X,21910359,Materials Science
Science and Global Security,08929882,15477800,Engineering
Science and Innovation,24099066,24134996,"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
Science and Justice,13550306,18764452,Medicine
Science and Medicine in Football,24733938,24734446,Medicine; Health Professions
Science and Practice Perspectives,19304307,19304315,Medicine
Science and Public Policy,03023427,14715430,Environmental Science; Social Sciences
Science and Religion in East Asia,22148329,,Arts and Humanities; Social Sciences
Science and Society,00368237,,Social Sciences
Science and Sports,07651597,17784131,Medicine
Science and Technologies: Oil and Oil Products Pipeline Transportation,22212701,25419595,Energy; Engineering; Environmental Science; Materials Science
Science and Technology Asia,25869000,25869027,Agricultural and Biological Sciences; Mathematics
Science and Technology for Energy Transition (STET),,28047699,Chemical Engineering; Energy
Science and Technology for the Built Environment,23744731,2374474X,Chemical Engineering; Engineering; Environmental Science
Science and Technology Indonesia,25804405,25804391,"Chemistry; Mathematics; Pharmacology, Toxicology and Pharmaceutics; Physics and Astronomy"
Science and Technology Libraries,0194262X,15411109,Social Sciences
Science and Technology of Advanced Materials,14686996,,Materials Science
Science and Technology of Archaeological Research,,20548923,Arts and Humanities; Social Sciences
"Science and Technology of Atomic, Molecular, Condensed Matter and Biological Systems",18754023,,Engineering; Physics and Astronomy
"Science and Technology of Cereals, Oils and Foods",10077561,,Agricultural and Biological Sciences
Science and Technology of Energetic Materials,13479466,,Chemistry; Physics and Astronomy
Science and Technology of Food Industry,10020306,,Agricultural and Biological Sciences
Science and Technology of Materials,,26036363,Energy; Engineering; Materials Science
Science and Technology of Nuclear Installations,16876075,16876083,Energy
Science and Technology of Welding and Joining,13621718,17432936,Materials Science; Physics and Astronomy
Science and Technology Studies,22434690,,Arts and Humanities
Science as Culture,09505431,,"Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Engineering; Social Sciences"
Science Bulletin,20959273,20959281,
Science China Chemistry,16747291,18691870,Chemistry
Science China Earth Sciences,16747313,18691897,Earth and Planetary Sciences
Science China Information Sciences,1674733X,18691919,Computer Science
Science China Life Sciences,16747305,18691889,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
Science China Materials,20958226,21994501,Materials Science
Science China Mathematics,16747283,18691862,Mathematics
Science China Technological Sciences,16747321,18691900,Engineering; Materials Science
"Science China: Physics, Mechanics and Astronomy",16747348,18691927,Physics and Astronomy
Science Communication,10755470,15528545,Social Sciences
Science Editing,22888063,22887474,Medicine; Social Sciences
Science Education,00368326,1098237X,Arts and Humanities; Social Sciences
Science Education International,1450104X,20772327,Social Sciences
Science et Changements Planetaires - Secheresse,11477806,17775922,Environmental Science
Science et Motricite,13781863,17821541,"Biochemistry, Genetics and Molecular Biology; Medicine; Health Professions"
Science Fiction Film and Television,17543770,17543789,Arts and Humanities; Social Sciences
Science for Conservation,11732946,,Environmental Science
Science for Education Today,,26586762,Social Sciences
Science immunology,,24709468,Immunology and Microbiology; Medicine
Science in China Series A-Mathematics Physics Astronomy and Technological Science,10016511,,Mathematics; Physics and Astronomy
"Science in China, Series A: Mathematics",10069283,,Mathematics
"Science in China, Series B: Chemistry",10069291,,Chemistry
"Science in China, Series C: Life Sciences",10069305,18622798,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Energy; Environmental Science; Mathematics"
"Science in China, Series D: Earth Sciences",10069313,18622801,Earth and Planetary Sciences
"Science in China, Series E: Technological Sciences",10069321,1862281X,Engineering; Materials Science
"Science in China, Series F: Information Sciences",10092757,18622836,Computer Science
"Science in China, Series G: Physics Astronomy",16721799,18622844,Physics and Astronomy
"Science in China. Series B, Chemistry, life sciences & earth sciences",1001652X,,Earth and Planetary Sciences; Engineering; Environmental Science
Science in Context,02698897,14740664,Arts and Humanities; Social Sciences
Science in New Guinea,03104303,,Earth and Planetary Sciences
Science Networks. Historical Studies,14216329,22966080,Arts and Humanities
Science News,00368423,,Engineering
Science of Advanced Materials,19472935,19472943,Materials Science
Science of aging knowledge environment : SAGE KE,15396150,,Medicine
Science of Computer Programming,01676423,,Computer Science; Mathematics
Science of Diabetes Self-Management and Care,26350106,26350114,Medicine; Social Sciences; Health Professions
Science of Gymnastics Journal,22322639,18557171,Medicine; Social Sciences; Health Professions
Science of Remote Sensing,,26660172,Agricultural and Biological Sciences; Earth and Planetary Sciences
Science of Sintering,0350820X,,Materials Science; Physics and Astronomy
Science of Soil and Water Conservation,20962673,,Agricultural and Biological Sciences; Environmental Science
Science of Synthesis,25105469,25667297,Chemistry
Science of the Total Environment,00489697,18791026,Environmental Science
Science of Tsunami Hazards,87556839,,Earth and Planetary Sciences
Science Progress,00368504,20477163,
"Science Reports - Tohoku University, Second Series: Geology",0082464X,,Earth and Planetary Sciences; Environmental Science
"Science Reports - University of Tsukuba, Institute of Geoscience, Section A",03886174,,Earth and Planetary Sciences; Environmental Science
"Science Reports of the Kyushu University, Department of Earth and Planetary Sciences",13480545,,Earth and Planetary Sciences
Science Reports of the Rerearch Institutes Tohoku University Series A-Physics,00408808,,Materials Science; Physics and Astronomy
"Science Reports of the Tohoku University, Series 7: Geography",03757854,,Earth and Planetary Sciences
"Science Reports of the University of Tsukuba, Institute of Geoscience, Section B: Geological Sciences",03886182,,Earth and Planetary Sciences
Science Robotics,,24709476,Computer Science; Engineering; Mathematics
Science Signaling,19450877,19379145,"Biochemistry, Genetics and Molecular Biology"
Science Studies,07863012,,Arts and Humanities
Science Technology and Human Values,01622439,15528251,"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Social Sciences"
Science Translational Medicine,19466234,19466242,Medicine
Science Vector of Togliatti State University,20735073,27128458,Engineering; Materials Science
"Science, Engineering and Health Studies",,26300087,
"Science, Technology and Development",09500707,,Social Sciences
"Science, Technology and Society",09717218,09730796,
"Science: Philosophy, History and Education",25208594,25208608,Arts and Humanities; Social Sciences
ScienceAsia,15131874,,
Science-Fiction Studies,00917729,,Arts and Humanities
ScienceRise: Pharmaceutical Science,25194844,25194852,"Pharmacology, Toxicology and Pharmaceutics"
Sciences - New York,0036861X,,
Sciences de l'Eau,02986663,,Earth and Planetary Sciences; Environmental Science
Sciences de l'Education pour l'Ere Nouvelle,07559593,22593764,Psychology; Social Sciences
Sciences des Aliments,02408813,,Agricultural and Biological Sciences
Sciences et Techniques de l'Animal de Laboratoire,0339722X,,Agricultural and Biological Sciences
Sciences et Techniques de l'Eau,08230269,,Environmental Science
Sciences in Cold and Arid Regions,16743822,,Earth and Planetary Sciences; Environmental Science
Sciences of Conservation and Archaeology,10051538,,Arts and Humanities
Sciences Sociales et Sante,02940337,17775914,Medicine; Social Sciences
Science's STKE : signal transduction knowledge environment,15258882,,Medicine
Sciences Techniques et Pratiques Pharmaceutiques,07586922,,"Pharmacology, Toxicology and Pharmaceutics"
SciEnggJ,,2799189X,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Scientia Agraria,15191125,19832443,Agricultural and Biological Sciences
Scientia Agricola,01039016,,Agricultural and Biological Sciences
Scientia Agricultura Sinica,05781752,,Agricultural and Biological Sciences
Scientia Agriculturae Bohemica,12113174,18059430,Agricultural and Biological Sciences
Scientia Agropecuaria,20779917,23066741,Agricultural and Biological Sciences
Scientia canadensis,08292507,,Medicine
"Scientia Danica, Series M: Mathematica et Physica",19045514,,Chemistry; Earth and Planetary Sciences; Mathematics; Physics and Astronomy
Scientia et Fides,23007648,23535636,Arts and Humanities
Scientia Forestalis/Forest Sciences,14139324,,Agricultural and Biological Sciences
Scientia Geographica Sinica,10000690,,Earth and Planetary Sciences; Environmental Science; Social Sciences
Scientia Geologica Sinica,05635020,,Earth and Planetary Sciences
Scientia Horticulturae,03044238,,Agricultural and Biological Sciences
Scientia Iranica,10263098,23453605,Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy
Scientia Marina,02148358,18868134,Agricultural and Biological Sciences; Earth and Planetary Sciences
Scientia Medica,18065562,19806108,Medicine
Scientia Paedagogica Experimentalis,05822351,,Social Sciences
Scientia Pharmaceutica,00368709,22180532,"Pharmacology, Toxicology and Pharmaceutics"
Scientia Sinica,02507870,,Medicine
Scientia Sinica Chimica,16747224,20959435,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Materials Science"
Scientia Sinica Informationis,16747267,20959486,Computer Science; Engineering
Scientia Sinica Mathematica,16747216,20959427,Mathematics
"Scientia Sinica, Series A: Mathematical, Physical, Astronomical & Technical Sciences",02535831,,Engineering
"Scientia Sinica. Series B, Chemical, biological, agricultural, medical & earth sciences / Chung-kuo k'o hsueh yuan, chu pan",02535823,,Earth and Planetary Sciences; Environmental Science
"Scientia Sinica: Physica, Mechanica et Astronomica",16747275,20959478,Physics and Astronomy
Scientific African,,24682276,
Scientific American,00368733,,
Scientific and Learned Cultures and Their Institutions,23521325,,Arts and Humanities
Scientific and Technical Information Processing,01476882,19348118,Computer Science
"Scientific and Technical Journal of Information Technologies, Mechanics and Optics",22261494,25000373,Computer Science; Engineering; Materials Science; Physics and Astronomy
Scientific Annals of Computer Science,18438121,22482695,Computer Science; Mathematics
Scientific Annals of Economics and Business,25011960,25013165,"Business, Management and Accounting; Economics, Econometrics and Finance"
Scientific Bulletin of Lodz Technical University: Mechanical Engineering,1426563X,,Engineering
Scientific Bulletin of Naval Academy,1454864X,23928956,Computer Science; Decision Sciences; Engineering; Mathematics; Physics and Astronomy
Scientific Computing,15242560,,Computer Science
Scientific Contributions Oil and Gas,20893361,25410520,Earth and Planetary Sciences; Energy
Scientific Culture,24080071,24079529,Arts and Humanities; Environmental Science; Social Sciences
Scientific data,,20524463,Computer Science; Decision Sciences; Mathematics; Social Sciences
Scientific Drilling,18168957,18163459,Energy; Engineering
Scientific Herald of Uzhhorod University. Series Physics,24158038,,Physics and Astronomy
Scientific Horizons,26632144,27098877,"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
Scientific Journal of King Faisal University Basic and Applied Sciences,16580311,,
Scientific Journal of Kurdistan University of Medical Sciences,1560652X,23454040,Medicine
Scientific Journal of Silesian University of Technology. Series Transport,02093324,24501549,Engineering; Social Sciences
Scientific Mining Journal,25647024,,Earth and Planetary Sciences; Engineering
Scientific Modeling and Simulation SMNS,18748554,18748562,Engineering; Materials Science; Mathematics
Scientific Online Letters on the Atmosphere,13496476,,Earth and Planetary Sciences
Scientific Papers of the Research Institute for Fruit Growing,15842231,,Agricultural and Biological Sciences
"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",1211555X,18048048,"Business, Management and Accounting; Economics, Econometrics and Finance"
Scientific Programming,10589244,1875919X,Computer Science
Scientific Reports,20452322,,
Scientific Research and Essays,19922248,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Engineering; Physics and Astronomy"
Scientific Review Engineering and Environmental Sciences,17329353,25437496,Earth and Planetary Sciences; Engineering; Environmental Science
Scientific Review of Alternative Medicine,10950656,,Medicine
Scientific Studies of Reading,10888438,1532799X,Psychology; Social Sciences
"Scientific Study and Research: Chemistry and Chemical Engineering, Biotechnology, Food Industry",1582540X,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
Scientific Visualization,,20793537,Computer Science
Scientific World Journal,23566140,1537744X,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine"
Scientifica,,2090908X,Agricultural and Biological Sciences; Environmental Science; Medicine
Scientist,08903670,,
Scientist and Citizen,21551278,,Energy; Environmental Science
Scientometrics,01389130,15882861,Computer Science; Social Sciences
Scienze Regionali,17203929,2035603X,"Economics, Econometrics and Finance; Social Sciences; Veterinary"
SciPost Physics,,25424653,Physics and Astronomy
SciPost Physics Core,,26669366,Physics and Astronomy
SciPost Physics Lecture Notes,,25901990,Physics and Astronomy
Scire,11353716,,Social Sciences
SCIRES-IT,,22394303,Arts and Humanities; Computer Science; Social Sciences
SCMS Journal of Indian Management,09733167,,"Business, Management and Accounting"
"SCN news / United Nations, Administrative Committee on Coordination, Subcommittee on Nutrition",15643743,15643751,Medicine
Scoliosis,17487161,,Medicine
Scoliosis and Spinal Disorders,,23971789,Medicine
Scope,11775653,11775661,Arts and Humanities
Scopus: Journal of East African Ornithology,02504162,23131799,Agricultural and Biological Sciences; Environmental Science
Scottish Affairs,09660356,2053888X,Social Sciences
Scottish Archaeological Journal,14715767,17552028,Arts and Humanities; Social Sciences
Scottish Gaelic Studies,00808024,,Arts and Humanities; Social Sciences
Scottish Geographical Journal,14702541,1751665X,Earth and Planetary Sciences; Social Sciences
Scottish Geographical Magazine,00369225,,Earth and Planetary Sciences; Social Sciences
Scottish Historical Review,00369241,,Arts and Humanities
Scottish Journal of Geology,00369276,20414951,Earth and Planetary Sciences
Scottish Journal of Political Economy,00369292,14679485,"Economics, Econometrics and Finance; Social Sciences"
Scottish Journal of Theology,00369306,14753065,Arts and Humanities
Scottish Literary Review,17565634,,Arts and Humanities
Scottish Medical Journal,00369330,20456441,Medicine
Scottish Planning and Environmental Law,13502808,,Social Sciences
Scottish Planning: Law and Practice,01448196,,Earth and Planetary Sciences; Environmental Science
Scottish Studies Review,14757737,17453186,Arts and Humanities
Scrap,10928618,,"Business, Management and Accounting; Chemical Engineering"
Screen,00369543,14602474,Arts and Humanities; Social Sciences
Screen Printing,00369594,,"Business, Management and Accounting; Engineering"
Screening,09256164,,Medicine
Scriblerian and the Kit-Cats,0190731X,21650624,Arts and Humanities
Scrinium,18177530,18177565,Arts and Humanities
Scrip Clinical Research,20429622,,Medicine
Script and Print,18349013,,Arts and Humanities; Social Sciences
SCRIPTA,,23404841,Arts and Humanities
Scripta and E-Scripta,1312238X,26033364,Arts and Humanities; Computer Science; Social Sciences
Scripta Botanica Belgica,07792387,,Agricultural and Biological Sciences
Scripta Classica Israelica,03344509,,Arts and Humanities
Scripta Geologica,03757587,18762077,Earth and Planetary Sciences
Scripta Judaica Cracoviensia,17335760,20843925,Arts and Humanities; Social Sciences
Scripta Materialia,13596462,,Engineering; Materials Science; Physics and Astronomy
Scripta Mediaevalia,18518753,23624868,Arts and Humanities
Scripta Medica (Banja Luka),03508218,23037954,Medicine
Scripta Medica Facultatis Medicae Universitatis Brunensis Masarykianae,12113395,,Medicine
Scripta Metallurgica,00369748,,Engineering
Scripta Metallurgica et Materialia,0956716X,,Engineering
Scripta Nova,11389788,11389788,Social Sciences
Scripta Theologica,00369764,,Arts and Humanities
Scriptorium,00369772,,Arts and Humanities; Social Sciences
SCROLL: Scottish Cultural Review of Language and Literature,15710734,,Arts and Humanities
Scrutiny2,18125441,17535409,Arts and Humanities
Sculpture Journal,13662724,,Arts and Humanities
Sculpture Review,07475284,26323494,Arts and Humanities
SD Revista Medica Internacional sobre el Sindrome de Down,11382074,,Medicine
SDHM Structural Durability and Health Monitoring,19302983,19302991,Engineering
Sea Technology,00933651,,Engineering
Sea View Hospital bulletin,00966843,,Medicine
SEAISI Quarterly (South East Asia Iron and Steel Institute),01295721,,Chemistry; Materials Science; Physics and Astronomy
Sealing Technology,13504789,,Chemical Engineering; Engineering
Seara médica,,,Medicine
Seara Medica Neurocirurgica,00370169,,Medicine
Search,00049549,,Social Sciences
SEARCH Journal of Media and Communication Research,,26727080,Arts and Humanities; Social Sciences
Searcher:Magazine for Database Professionals,10704795,,Social Sciences
SEB experimental biology series,19464959,,Medicine
Sechenov Medical Journal,22187332,26583348,Medicine
Second Language Learning and Teaching,21937648,,Arts and Humanities; Social Sciences
Second Language Research,02676583,14770326,Social Sciences
Second Messengers and Phosphoproteins,08957479,,"Biochemistry, Genetics and Molecular Biology"
"Second opinion (Chicago, Ill. : 1999)",,,
"Second opinion (Park Ridge, Ill.)",08901570,,Medicine
"Secuencia (Mexico City, Mexico)",01860348,,Arts and Humanities; Social Sciences
Secular Studies,25892517,25892525,Arts and Humanities
Secularism and Nonreligion,,20536712,Arts and Humanities; Social Sciences
SECURITAS,00370657,,Medicine
Securities Regulation Law Journal,00979554,,Social Sciences
Security and Communication Networks,19390114,19390122,Computer Science
Security and Human Rights,18747337,18750230,Social Sciences
Security Dialogue,09670106,,Social Sciences
Security Journal,09551662,17434645,"Business, Management and Accounting; Social Sciences"
Security Studies,09636412,15561852,Social Sciences
Sedimentary Basins of the World,18745997,,Earth and Planetary Sciences
Sedimentary Geology,00370738,,Earth and Planetary Sciences
Sedimentary Record,,15438740,Earth and Planetary Sciences
Sedimentology,00370746,13653091,Earth and Planetary Sciences
Seed and Plant Journal,,27834409,Agricultural and Biological Sciences
Seed Biology,,28345495,Agricultural and Biological Sciences
Seed Science and Technology,02510952,,Agricultural and Biological Sciences
Seed Science Research,09602585,14752735,Agricultural and Biological Sciences
Seeing and Perceiving,18784755,18784763,Computer Science; Medicine; Neuroscience; Psychology
Sefarad,00370894,1988320X,Arts and Humanities; Social Sciences
Segle XX,,23396806,Arts and Humanities
Sei Roka Kango Daigaku kiyo,02892863,,Medicine
SEI Technical Review,13434349,,Engineering
Seibutsu-kogaku Kaishi,09193758,24358630,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Seicento e Settecento,18282148,19718330,Arts and Humanities
Seikagaku,00371017,21890544,"Biochemistry, Genetics and Molecular Biology"
Sein,11631961,,Medicine
Seismic Record,,26944006,Earth and Planetary Sciences
Seismological Research Letters,08950695,19382057,Earth and Planetary Sciences
Seizieme Siecle,17744466,17753856,Arts and Humanities; Social Sciences
Seizure,10591311,15322688,Medicine; Neuroscience
Sekiyu Gakkaishi (Journal of the Japan Petroleum Institute),05824664,,Energy
Seksuologia Polska,17316677,17319544,Medicine
SEL - Studies in English Literature,00393657,15229270,Arts and Humanities
Seleccion,02148927,,Medicine
"Selecta Mathematica, New Series",10221824,,Mathematics; Physics and Astronomy
Selected Works of Juan Luis Vives,09210717,,Arts and Humanities
Selective Cancer Therapeutics,10430733,,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Selezione Tessile,11255579,,Materials Science
Self and Identity,15298868,,Psychology
Self/Nonself - Immune Recognition and Signaling,19382030,19382049,Immunology and Microbiology
Sel'skokhozyaistvennaya Biologiya,01316397,23134836,Agricultural and Biological Sciences
Selvedge,1742254X,,Arts and Humanities
SeMA Journal,22543902,22817875,Mathematics
SEMA SIMAI Springer Series,21993041,2199305X,Agricultural and Biological Sciences; Chemical Engineering; Engineering; Mathematics; Physics and Astronomy
Semaine des Hopitaux,00371777,,Medicine
Semaine des hopitaux. Therapeutique,00405922,,Medicine
Semaine médicale professionelle et médico-sociale,00371785,,Medicine
Semaine therapeutique,05410576,,Medicine
Semantic Web,15700844,22104968,Computer Science
Semeia,0095571X,,Arts and Humanities
Semeia Studies,1567200X,,Arts and Humanities
Semergen,11383593,15788865,Medicine
Semiconductor International,01633767,,Engineering; Immunology and Microbiology; Materials Science; Physics and Astronomy
"Semiconductor Physics, Quantum Electronics and Optoelectronics",15608034,16056582,Engineering; Materials Science; Physics and Astronomy
Semiconductor Science and Technology,02681242,13616641,Engineering; Materials Science; Physics and Astronomy
Semiconductors,10637826,10906479,Materials Science; Physics and Astronomy
Semiconductors and Semimetals,00808784,,Engineering; Materials Science; Physics and Astronomy
Semigroup Forum,00371912,14322137,Mathematics
Semina:Ciencias Agrarias,1676546X,16790359,Agricultural and Biological Sciences
Seminaire Lotharingien de Combinatoire,,12864889,Mathematics
Seminar - A Journal of Germanic Studies,00371939,1911026X,Arts and Humanities; Social Sciences
Seminar report. Merck Sharp & Dohme,0148978X,,Medicine
Seminarios de la Fundacion Espanola de Reumatologia,15773566,19883099,Medicine
Seminars for nurse managers,10663851,,Nursing
Seminars in Anesthesia,02770326,,Medicine
"Seminars in Anesthesia, Perioperative Medicine and Pain",15479951,15580466,Medicine
Seminars in Arthritis and Rheumatism,00490172,1532866X,Medicine
Seminars in Arthroplasty JSES,10454527,15584437,Medicine
Seminars in Avian and Exotic Pet Medicine,1055937X,,Veterinary
Seminars in Breast Disease,10924450,,Medicine
Seminars in Cancer Biology,1044579X,10963650,"Biochemistry, Genetics and Molecular Biology"
Seminars in Cardiothoracic and Vascular Anesthesia,10892532,19405596,Medicine
Seminars in Cell and Developmental Biology,10849521,10963634,"Biochemistry, Genetics and Molecular Biology"
Seminars in Cell Biology,10434682,,Medicine
Seminars in Cerebrovascular Diseases and Stroke,15289931,,Medicine
Seminars in Clinical Neuropsychiatry,10843612,,Neuroscience; Psychology
Seminars in Colon and Rectal Surgery,10431489,15584585,Medicine
Seminars in Cutaneous Medicine and Surgery,10855629,15580768,Medicine
Seminars in Dermatology,0278145X,,Medicine
Seminars in Developmental Biology,10445781,,
Seminars in Diagnostic Pathology,07402570,19301111,Medicine
Seminars in Dialysis,08940959,1525139X,Medicine
Seminars in Fetal and Neonatal Medicine,1744165X,18780946,Medicine
Seminars in Gastrointestinal Disease,10495118,,Medicine
Seminars in Hearing,07340451,10988955,Health Professions
Seminars in Hematology,00371963,15328686,Medicine
Seminars in Immunology,10445323,10963618,Immunology and Microbiology; Medicine
Seminars in Immunopathology,18632297,18632300,Immunology and Microbiology; Medicine
Seminars in Integrative Medicine,15431150,15431169,Medicine
Seminars in interventional cardiology : SIIC,10842764,,Medicine
Seminars in Interventional Radiology,07399529,10988963,Medicine
Seminars in Laparoscopic Surgery,10715517,,Medicine
Seminars in Liver Disease,02728087,10988971,Medicine
Seminars in Musculoskeletal Radiology,10897860,1098898X,Medicine
Seminars in Neonatology,10842756,,Medicine
Seminars in Nephrology,02709295,15584488,Medicine
Seminars in Neurology,02718235,10989021,Medicine; Neuroscience
Seminars in Neurosurgery,15268012,,Medicine
Seminars in Nuclear Medicine,00012998,15584623,Medicine
Seminars in Oncology,00937754,15328708,Medicine
Seminars in Oncology Nursing,07492081,18783449,Nursing
Seminars in Ophthalmology,08820538,17445205,Medicine
Seminars in Organic Synthesis,,,"Biochemistry, Genetics and Molecular Biology; Chemistry"
Seminars in Orthodontics,10738746,,Dentistry
Seminars in Pain Medicine,15375897,,Medicine
Seminars in Pediatric Infectious Diseases,10451870,,Medicine
Seminars in Pediatric Neurology,10719091,15580776,Medicine
Seminars in Pediatric Surgery,10558586,15329453,Medicine
Seminars in Perinatology,01460005,1558075X,Medicine
Seminars in perioperative nursing,10568670,,Medicine
Seminars in Plastic Surgery,15352188,15360067,Medicine
Seminars in Preventive and Alternative Medicine,15564061,,Medicine; Nursing
Seminars in Radiation Oncology,10534296,15329461,"Biochemistry, Genetics and Molecular Biology; Medicine"
Seminars in Radiologic Technology,1070535X,,Medicine
Seminars in Reproductive Endocrinology,07348630,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Seminars in Reproductive Medicine,15268004,15264564,"Biochemistry, Genetics and Molecular Biology; Medicine"
Seminars in Respiratory and Critical Care Medicine,10693424,10989048,Medicine
Seminars in Respiratory Infections,08820546,,Medicine
Seminars in Respiratory Medicine,01929755,,Medicine
Seminars in Roentgenology,0037198X,15584658,Medicine
Seminars in Speech and Language,07340478,10989056,Nursing; Health Professions
Seminars in Spine Surgery,10407383,15584496,Medicine
Seminars in Surgical Oncology,87560437,,Medicine
Seminars in the Neurosciences,10445765,10981284,Neuroscience
Seminars in Thoracic and Cardiovascular Surgery,10430679,15329488,Medicine
Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,10929126,18764665,Medicine
Seminars in Thrombosis and Hemostasis,00946176,10989064,Medicine
Seminars in Ultrasound,01941720,,Medicine
"Seminars in Ultrasound, CT and MRI",08872171,15585034,Medicine
Seminars in Urologic Oncology,10810943,,Medicine
Seminars in Urology,07309147,,Medicine
Seminars in Vascular Medicine,15289648,15293505,Medicine
Seminars in Vascular Surgery,08957967,15584518,Medicine
Seminars in Veterinary Medicine and Surgery-Small Animal,08820511,,Veterinary
Seminars in Virology,10445773,,Immunology and Microbiology
Semiotica,00371998,16133692,Arts and Humanities; Social Sciences
Semitica et Classica,20315937,22959041,Arts and Humanities
Sen,16416007,16443306,Medicine
Senckenbergiana Biologica,00372102,,Agricultural and Biological Sciences
Senckenbergiana Lethaea,00372110,,Earth and Planetary Sciences
Senckenbergiana Maritima,0080889X,,Agricultural and Biological Sciences; Earth and Planetary Sciences
Sendebar,11305509,,Arts and Humanities; Social Sciences
SENDROM,10165134,,Medicine
Seni Kikai Gakkai Shi/Journal of the Textile Machinery Society of Japan,03710580,,Engineering; Materials Science
Senior nurse,02659999,,Medicine
Senpaku Gijutsu Kenkyusho Hokoku/Papers of Ship Research Institute,0495775X,,Engineering
Senses and Society,17458927,17458935,Social Sciences
Sensing and Bio-Sensing Research,,22141804,"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Materials Science"
Sensing and Imaging,15572064,,Engineering; Physics and Astronomy
Sensing and Instrumentation for Food Quality and Safety,19327587,19329954,Chemical Engineering; Engineering
Sensor Letters,1546198X,15461971,Engineering; Physics and Astronomy
Sensor Review,02602288,,Engineering
Sensors,14243210,14248220,"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Engineering; Physics and Astronomy"
"Sensors (Peterborough, NH)",07469462,,Computer Science; Engineering
Sensors and Actuators,02506874,,Engineering
Sensors and Actuators A: Physical,09244247,,Engineering; Materials Science; Physics and Astronomy
Sensors and Actuators B: Chemical,09254005,19448201,Chemistry; Engineering; Materials Science; Physics and Astronomy
Sensors and Actuators Reports,,26660539,Computer Science; Engineering; Materials Science; Physics and Astronomy
Sensors and Diagnostics,,26350998,Chemistry
Sensors and Materials,09144935,,Materials Science; Physics and Astronomy
Sensors and Transducers,23068515,17265479,Engineering
Sensors International,,26663511,Chemical Engineering; Chemistry; Engineering; Materials Science
Sententiae,20756461,23088915,Arts and Humanities
Sentinel event alert / Joint Commission on Accreditation of Healthcare Organizations,,,Medicine
Seoul Journal of Economics,12250279,,"Economics, Econometrics and Finance"
Seoul Journal of Korean Studies,12250201,,Arts and Humanities; Social Sciences
Sep Sci,00372366,,Engineering
Separation and Purification Methods,03602540,,Chemical Engineering; Chemistry
Separation and Purification Reviews,15422119,,Chemical Engineering; Chemistry
Separation and Purification Technology,13835866,18733794,Chemical Engineering; Chemistry
Separation Science and Technology,01496395,15205754,Chemical Engineering; Chemistry
Separation Science and Technology (New York),18771718,,Chemical Engineering
Separation Science Plus,,25731815,Chemical Engineering; Chemistry
Separations,,22978739,Chemical Engineering; Chemistry
Separations Technology,09569618,,Chemical Engineering; Engineering
SEPM Special Publications,1060071X,,Earth and Planetary Sciences
Sepsis,13850229,,Medicine
Septuagint Commentary Series,15723755,,Arts and Humanities
Sequencia,01019562,21777055,Social Sciences
Sequential Analysis,07474946,15324176,Mathematics
Serangga,13945130,,Agricultural and Biological Sciences
Serbian Astronomical Journal,1450698X,,Physics and Astronomy
Serbian Journal of Electrical Engineering,14514869,22177183,Computer Science; Energy; Engineering
Serbian Journal of Experimental and Clinical Research,18208665,2335075X,Medicine
Serbian Journal of Management,14524864,22177159,"Business, Management and Accounting"
Serbian Studies,07423330,19419511,Arts and Humanities; Social Sciences
Serials,09530460,14753308,Social Sciences
Serials Librarian,0361526X,15411095,Social Sciences
Serials Review,00987913,,Social Sciences
Serie Correlacion Geologica,15144186,16669479,Earth and Planetary Sciences
SERIEs,18694187,18694195,"Economics, Econometrics and Finance"
"Series on Analysis, Applications and Computation",17934702,,Mathematics
Series on Biomechanics,13132458,,"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
Series on Chinese Economics Research,22511644,,"Economics, Econometrics and Finance; Social Sciences"
Series on Concrete and Applicable Mathematics,17931142,,Decision Sciences; Mathematics
